contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
BTC250815C00050000,2025-06-27 18:47:36+00:00,50.0,1.79,1.6,2.15,-0.23000002,-11.38614,36.0,104.0,0.4672904833984375,False,REGULAR,USD,2025-08-15
BTC250815C00051000,2025-06-27 17:18:43+00:00,51.0,1.5,0.75,1.85,-0.32000005,-17.58242,2.0,33.0,0.47046427978515626,False,REGULAR,USD,2025-08-15
BTC250815C00052000,2025-06-26 14:08:11+00:00,52.0,1.35,0.0,1.6,0.0,0.0,2.0,5.0,0.47559118164062497,False,REGULAR,USD,2025-08-15
BTC250815C00054000,2025-06-24 17:34:11+00:00,54.0,0.9,0.0,1.2,0.0,0.0,1.0,6.0,0.48682153808593753,False,REGULAR,USD,2025-08-15
BTC250815C00055000,2025-06-27 18:10:38+00:00,55.0,0.72,0.05,0.8,-0.17999995,-19.999994,3.0,15.0,0.44482977050781247,False,REGULAR,USD,2025-08-15
BTC250815C00065000,2025-06-25 14:28:12+00:00,65.0,0.1,0.05,0.55,0.0,0.0,1.0,2.0,0.56055126953125,False,REGULAR,USD,2025-08-15
BTC250919C00020000,2025-03-04 16:32:29+00:00,20.0,17.5,0.0,0.0,0.0,0.0,,5.0,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
BTC250919C00025000,2025-06-02 17:16:50+00:00,25.0,21.9,22.5,23.3,0.0,0.0,,4.0,0.956055126953125,True,REGULAR,USD,2025-09-19
BTC250919C00026000,2025-05-27 17:11:53+00:00,26.0,23.7,21.7,22.6,0.0,0.0,,0.0,0.9970703417968749,True,REGULAR,USD,2025-09-19
BTC250919C00028000,2025-04-11 14:12:35+00:00,28.0,10.75,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
BTC250919C00030000,2025-05-21 15:44:53+00:00,30.0,19.15,16.6,17.8,0.0,0.0,2.0,0.0,0.6909210595703126,True,REGULAR,USD,2025-09-19
BTC250919C00032000,2025-05-09 18:20:22+00:00,32.0,15.11,14.9,15.5,0.0,0.0,,1.0,0.48828636718750007,True,REGULAR,USD,2025-09-19
BTC250919C00033000,2025-06-09 17:14:43+00:00,33.0,16.0,14.8,15.6,0.0,0.0,1.0,2.0,0.6826203613281252,True,REGULAR,USD,2025-09-19
BTC250919C00034000,2025-05-21 16:51:32+00:00,34.0,16.01,11.3,14.5,0.0,0.0,1.0,1.0,0.7070341796875,True,REGULAR,USD,2025-09-19
BTC250919C00035000,2025-06-24 14:23:01+00:00,35.0,12.5,11.8,13.6,0.0,0.0,100.0,114.0,0.6831086376953126,True,REGULAR,USD,2025-09-19
BTC250919C00036000,2025-06-25 19:52:56+00:00,36.0,12.77,10.9,12.7,0.0,0.0,10.0,30.0,0.6577182666015625,True,REGULAR,USD,2025-09-19
BTC250919C00037000,2025-06-10 14:37:47+00:00,37.0,12.59,9.8,11.8,0.0,0.0,10.0,52.0,0.6311072045898438,True,REGULAR,USD,2025-09-19
BTC250919C00038000,2025-06-13 17:55:34+00:00,38.0,10.38,8.9,11.0,0.0,0.0,10.0,6.0,0.6198768481445314,True,REGULAR,USD,2025-09-19
BTC250919C00039000,2025-06-17 18:55:58+00:00,39.0,9.02,8.0,10.1,0.0,0.0,1.0,38.0,0.5903361279296876,True,REGULAR,USD,2025-09-19
BTC250919C00040000,2025-06-24 16:23:57+00:00,40.0,8.49,8.6,9.2,0.0,0.0,1.0,131.0,0.514653291015625,True,REGULAR,USD,2025-09-19
BTC250919C00041000,2025-06-05 19:58:31+00:00,41.0,7.2,7.8,8.4,0.0,0.0,3.0,24.0,0.5419967675781252,True,REGULAR,USD,2025-09-19
BTC250919C00042000,2025-06-17 13:45:08+00:00,42.0,7.35,7.0,7.6,0.0,0.0,1.0,35.0,0.5217332983398437,True,REGULAR,USD,2025-09-19
BTC250919C00043000,2025-06-18 14:04:45+00:00,43.0,6.42,6.4,6.9,0.0,0.0,1.0,28.0,0.5114794946289063,True,REGULAR,USD,2025-09-19
BTC250919C00044000,2025-06-27 17:41:05+00:00,44.0,6.1,5.7,6.3,0.25,4.2735043,1.0,84.0,0.5100146655273439,True,REGULAR,USD,2025-09-19
BTC250919C00045000,2025-06-25 19:09:39+00:00,45.0,5.7,5.2,5.6,0.0,0.0,4.0,95.0,0.49268085449218757,True,REGULAR,USD,2025-09-19
BTC250919C00046000,2025-06-25 15:55:18+00:00,46.0,5.05,2.85,5.1,0.0,0.0,7.0,57.0,0.49487809814453126,True,REGULAR,USD,2025-09-19
BTC250919C00047000,2025-06-25 17:18:36+00:00,47.0,4.5,4.0,4.5,0.0,0.0,20.0,142.0,0.48169463623046876,True,REGULAR,USD,2025-09-19
BTC250919C00048000,2025-06-25 14:16:30+00:00,48.0,4.1,3.5,4.0,0.0,0.0,1.0,40.0,0.4758353198242187,False,REGULAR,USD,2025-09-19
BTC250919C00049000,2025-06-25 15:54:47+00:00,49.0,3.65,3.2,3.7,0.0,0.0,2.0,207.0,0.48828636718750007,False,REGULAR,USD,2025-09-19
BTC250919C00050000,2025-06-25 15:03:07+00:00,50.0,3.01,2.65,3.3,-0.19000006,-5.937502,1.0,397.0,0.4858449853515625,False,REGULAR,USD,2025-09-19
BTC250919C00051000,2025-06-20 15:18:48+00:00,51.0,2.5,2.3,2.95,0.0,0.0,1.0,22.0,0.485356708984375,False,REGULAR,USD,2025-09-19
BTC250919C00052000,2025-06-17 19:14:42+00:00,52.0,2.6,1.95,2.45,0.0,0.0,1.0,44.0,0.46411668701171876,False,REGULAR,USD,2025-09-19
BTC250919C00053000,2025-06-17 19:02:35+00:00,53.0,2.3,1.75,2.4,0.0,0.0,16.0,43.0,0.49170430175781255,False,REGULAR,USD,2025-09-19
BTC250919C00054000,2025-06-27 17:21:45+00:00,54.0,1.8,1.5,2.15,-0.29999995,-14.285712,6.0,23.0,0.4931691308593751,False,REGULAR,USD,2025-09-19
BTC250919C00055000,2025-06-24 15:35:34+00:00,55.0,1.5,1.3,3.5,0.0,0.0,1.0,82.0,0.5532271240234375,False,REGULAR,USD,2025-09-19
BTC250919C00056000,2025-06-17 13:30:09+00:00,56.0,1.44,1.05,1.75,0.0,0.0,7.0,29.0,0.500005,False,REGULAR,USD,2025-09-19
BTC250919C00057000,2025-05-12 13:46:32+00:00,57.0,2.68,0.0,0.0,0.0,0.0,10.0,13.0,0.12500875,False,REGULAR,USD,2025-09-19
BTC250919C00058000,2025-06-02 19:53:34+00:00,58.0,1.72,0.0,1.65,0.0,0.0,10.0,216.0,0.5378464184570313,False,REGULAR,USD,2025-09-19
BTC250919C00059000,2025-06-23 14:20:31+00:00,59.0,0.9,0.0,1.4,0.0,0.0,2.0,229.0,0.526371923828125,False,REGULAR,USD,2025-09-19
BTC250919C00060000,2025-06-26 15:40:08+00:00,60.0,1.1,0.65,1.2,0.0,0.0,1.0,49.0,0.5188036401367188,False,REGULAR,USD,2025-09-19
BTC250919C00061000,2025-06-20 19:38:13+00:00,61.0,0.76,0.0,1.0,0.0,0.0,10.0,24.0,0.507817421875,False,REGULAR,USD,2025-09-19
BTC250919C00062000,2025-06-26 15:32:15+00:00,62.0,0.75,0.0,1.05,0.0,0.0,1.0,29.0,0.5366257275390626,False,REGULAR,USD,2025-09-19
BTC250919C00063000,2025-06-03 14:21:16+00:00,63.0,1.15,0.0,1.0,0.0,0.0,1.0,11.0,0.5478560839843751,False,REGULAR,USD,2025-09-19
BTC250919C00064000,2025-06-24 17:41:56+00:00,64.0,0.57,0.0,1.0,0.0,0.0,2.0,3.0,0.5668988623046876,False,REGULAR,USD,2025-09-19
BTC250919C00065000,2025-06-26 18:40:39+00:00,65.0,0.55,0.35,0.85,0.0,0.0,4.0,40.0,0.50586431640625,False,REGULAR,USD,2025-09-19
BTC250919C00068000,2025-05-22 14:15:08+00:00,68.0,1.68,0.0,0.95,0.0,0.0,2.0,32.0,0.524418818359375,False,REGULAR,USD,2025-09-19
BTC250919C00069000,2025-05-22 19:47:40+00:00,69.0,1.6,0.0,0.75,0.0,0.0,10.0,15.0,0.5112353564453125,False,REGULAR,USD,2025-09-19
BTC250919C00070000,2025-06-26 19:07:40+00:00,70.0,0.35,0.0,0.65,0.0,0.0,1.0,344.0,0.5097705273437501,False,REGULAR,USD,2025-09-19
BTC251219C00025000,2025-06-09 16:49:22+00:00,25.0,24.2,22.8,23.9,0.0,0.0,2.0,3.0,0.7739280419921876,True,REGULAR,USD,2025-12-19
BTC251219C00030000,2025-06-02 18:47:06+00:00,30.0,18.21,18.4,19.2,0.0,0.0,,1.0,0.6696810375976563,True,REGULAR,USD,2025-12-19
BTC251219C00033000,2025-05-12 14:00:59+00:00,33.0,15.85,17.5,18.3,0.0,0.0,,10.0,0.8295915478515624,True,REGULAR,USD,2025-12-19
BTC251219C00035000,2025-06-23 13:37:44+00:00,35.0,12.69,14.1,14.8,0.0,0.0,3.0,52.0,0.5815471533203125,True,REGULAR,USD,2025-12-19
BTC251219C00036000,2025-05-08 17:42:41+00:00,36.0,12.85,12.7,13.4,0.0,0.0,2.0,16.0,0.5410202148437502,True,REGULAR,USD,2025-12-19
BTC251219C00037000,2025-06-11 14:44:41+00:00,37.0,14.57,10.8,13.2,0.0,0.0,29.0,27.0,0.5939982006835938,True,REGULAR,USD,2025-12-19
BTC251219C00038000,2025-04-21 18:30:34+00:00,38.0,7.7,12.3,14.6,0.0,0.0,,2.0,0.6821320849609377,True,REGULAR,USD,2025-12-19
BTC251219C00040000,2025-06-24 16:59:33+00:00,40.0,10.5,10.4,11.0,0.0,0.0,2.0,39.0,0.5334519311523438,True,REGULAR,USD,2025-12-19
BTC251219C00041000,2025-06-16 19:05:55+00:00,41.0,11.0,9.7,10.3,0.0,0.0,3.0,5.0,0.5238084729003907,True,REGULAR,USD,2025-12-19
BTC251219C00042000,2025-06-09 19:34:36+00:00,42.0,10.53,9.0,9.6,0.0,0.0,1.0,15.0,0.5127001855468749,True,REGULAR,USD,2025-12-19
BTC251219C00043000,2025-06-25 19:52:56+00:00,43.0,9.12,8.5,9.1,0.0,0.0,10.0,11.0,0.5168505346679688,True,REGULAR,USD,2025-12-19
BTC251219C00044000,2025-06-12 17:35:37+00:00,44.0,9.14,7.9,8.5,0.0,0.0,10.0,105.0,0.5105029418945313,True,REGULAR,USD,2025-12-19
BTC251219C00045000,2025-06-25 18:42:19+00:00,45.0,7.81,7.2,7.9,0.0,0.0,1.0,103.0,0.5264939929199219,True,REGULAR,USD,2025-12-19
BTC251219C00046000,2025-06-18 16:06:38+00:00,46.0,6.9,6.9,7.4,0.0,0.0,6.0,28.0,0.5043994873046875,True,REGULAR,USD,2025-12-19
BTC251219C00047000,2025-06-27 19:56:58+00:00,47.0,6.8,6.3,6.8,0.3000002,4.615388,21.0,21.0,0.5122119091796875,True,REGULAR,USD,2025-12-19
BTC251219C00048000,2025-06-26 14:50:06+00:00,48.0,6.2,6.1,6.5,-0.20000029,-3.1250045,13.0,44.0,0.5064746618652343,False,REGULAR,USD,2025-12-19
BTC251219C00049000,2025-06-17 17:16:09+00:00,49.0,5.65,5.6,6.0,0.0,0.0,4.0,5.0,0.5144091528320311,False,REGULAR,USD,2025-12-19
BTC251219C00050000,2025-06-24 14:50:52+00:00,50.0,5.2,4.9,5.6,0.0,0.0,10.0,103.0,0.5128222546386718,False,REGULAR,USD,2025-12-19
BTC251219C00051000,2025-06-09 14:33:19+00:00,51.0,6.0,4.6,5.3,0.0,0.0,1.0,3.0,0.5173388110351562,False,REGULAR,USD,2025-12-19
